,Unnamed: 0,wise_designation,ps_ra,ps_dec,zPSFStackMag,highz_prob,qso_prob,Mstar_prob,predicted_redshift,spectroscopic_redshift,known_quasar,photometric_follow_up,observed,still_to_observe
93,93,J142731.33+141840.4,216.880534846,14.3113053296,20.101694000000002,0.878999224982,0.973675807174,0.0229908594927,4.930547205,,False,False,False,True
94,94,J112230.98-284310.6,170.62940811200002,-28.720019995599998,20.185314,0.44918388143,0.553166772408,0.37695301293300004,5.728175833330001,,False,False,False,True
95,95,J222531.58+090314.1,336.381891066,9.053949932110001,20.439276,0.715833696434,0.7463114850489999,0.154247111181,5.69125833333,,False,False,False,True
96,96,J235124.32-045907.8,357.851254785,-4.98538991342,20.109924,0.8694133685940001,0.9298871127420001,0.07011288725789999,5.09852147102,5.25,True,False,False,False
97,97,J234743.09-051830.4,356.929940104,-5.308274787219999,20.388077,0.666035701991,0.744388884325,0.20017895182,5.72139,,False,False,False,True
98,98,J125353.39+104602.9,193.472277617,10.7675350981,19.098164,0.948488606592,0.986938233564,0.0102320389445,4.8906313619,4.9110000000000005,True,False,False,False
99,99,J110217.14+381048.3,165.571433416,38.1800777947,19.468996,0.976552907417,0.986552907417,0.013447092582700002,4.89434097795,4.88,True,False,False,False
100,100,J000325.52-163109.6,0.8562681490549999,-16.5191931279,19.333971,0.9933333333329999,0.9966666666670001,0.0033333333333300003,5.1219113075900005,,False,False,False,True
101,101,J094929.82-145128.5,147.374214216,-14.8581151526,20.198744,0.889800664156,0.90313399749,0.0968660025103,5.25953055781,,False,False,False,True
102,102,J095709.30-145607.1,149.28870601399998,-14.9353095866,19.374086,0.853697560781,0.983971111964,0.0160288880361,4.89941749867,,False,False,False,True
103,103,J092333.01-152249.4,140.887497956,-15.3804336823,19.979001999999998,0.8563978596870001,0.859913946358,0.136752720308,5.20793365795,,False,False,False,True
104,104,J092352.39-180119.8,140.968699305,-18.02245645,19.925138,0.860643873416,0.9628177990960001,0.0371822009039,5.02358679502,,False,False,False,True
105,105,J110942.97-285521.0,167.428748245,-28.9223014974,20.035114,0.876623577869,0.916503374621,0.0834966253786,5.09340434834,5.01,False,False,True,False
106,106,J121122.08+375403.1,182.84192289599997,37.900828750900004,19.682848,0.9162632780679999,0.981174981206,0.0188250187939,4.8033060597300015,4.745,True,False,False,False
107,107,J092216.83+265359.5,140.570033671,26.8997092934,20.191587,0.938870791037,0.9431783938930001,0.056821606107,5.03861974222,5.0318,True,False,False,False
108,108,J211339.15-194916.9,318.413145078,-19.8209692816,20.360863000000002,0.4697848777750001,0.4972672672,0.4240676575990001,5.6136233333300005,,False,False,False,True
109,109,J212107.29-194553.8,320.280047736,-19.7650055079,20.150726000000002,0.481616541677,0.506692049942,0.465209271423,5.60142,,False,False,False,True
110,110,J163752.18+024158.1,249.467404948,2.69955448143,19.307991,0.565467281127,0.760133551972,0.134123882991,5.800634,5.76,False,False,True,False
111,111,J112412.75-273805.2,171.053364272,-27.6346164823,20.189392,0.856440824531,0.8698367079549999,0.13016329204500002,5.13549084946,,False,False,False,True
112,112,J235632.46-062259.4,359.13521423699996,-6.38313849321,20.05309,0.842443023677,0.920892604867,0.035465799489699995,5.902467333330001,6.15,True,False,False,False
113,113,J105502.90+402435.3,163.762341018,40.4098515277,19.660702,0.9499713154530001,0.9695487430869999,0.030451256913,4.95582142417,4.85,True,False,False,False
114,114,J105840.41+804917.8,164.666011223,80.82189208060001,20.290627999999998,0.839685814824,0.8758056128120001,0.12419438718800001,5.2326065150300005,,False,False,False,True
115,115,J114223.23+822925.1,175.595896783,82.4904127405,20.21282,0.835779984298,0.8427931599390001,0.154076404571,5.4640900000000014,,False,False,False,True
116,116,J114311.95+804842.2,175.801424875,80.8121669085,20.417103,0.495437617784,0.541945307145,0.32191873405,5.957418333330001,,False,False,False,True
117,117,J170133.05+424730.7,255.387652932,42.7918188127,19.36786,0.945445166514,0.979566124888,0.0204338751121,5.0716347086699995,,False,False,False,True
118,118,J094045.37-133333.2,145.189212265,-13.5589535202,19.553728,0.809098518992,0.8164582036069999,0.176979763132,5.46118549253,,False,False,False,True
119,119,J095234.65+822418.1,148.143689986,82.4050916153,20.465876,0.85495936959,0.9110733572930001,0.088926642707,5.02624925924,,False,False,False,True
120,120,J075802.41+250403.6,119.510209768,25.067513635799997,20.394796,0.915762210834,0.972630836055,0.0273691639447,5.14280579546,,False,False,False,True
121,121,J112650.71-044712.4,171.711304302,-4.78672603484,20.36135,0.8975823152529999,0.9726387347290001,0.024027931937199997,4.83045032624,,False,False,False,True
122,122,J152023.85+682825.6,230.09938077799998,68.47381595819999,20.215967000000006,0.8292740616150001,0.939132629776,0.0475340368905,4.8096173102,,False,False,False,True
123,123,J105237.40+164108.5,163.156009401,16.6858144123,20.369974,0.98,0.9933333333329999,0.00666666666667,4.832481915,4.815,True,False,False,False
124,124,J143604.99+213239.5,219.02083548299998,21.5442395361,19.600126,0.9133333333329999,0.924528954161,0.0754710458393,5.12810210999,5.22,True,False,False,False
125,125,J143751.80+232313.8,219.46593845099997,23.3870352759,19.5723,0.9896390867749999,0.993318929083,0.0066810709172100005,5.20582906941,5.305,True,False,False,False
126,126,J041527.53-080608.8,63.8647501423,-8.10241129871,19.995586,0.989139397063,0.99,0.01,5.0097727165800015,,False,False,False,True
127,127,J083643.85+005453.1,129.182748596,0.914785930932,18.769886,0.605413060398,0.7667905068430001,0.137513972873,5.804444999999999,5.82,True,False,False,False
128,128,J084322.55+031719.2,130.844159598,3.2889696005299998,20.09522,0.873184156903,0.879625994306,0.12037400569399999,5.24152569147,,False,False,False,True
129,129,J151901.24+042348.4,229.755298367,4.39683270241,19.89225,0.966625172191,0.983291838857,0.0133748278095,5.01686676363,4.94,True,False,False,False
130,130,J081248.81+044056.7,123.203404266,4.6823868947300005,19.867794,0.99,0.999566124888,0.00043387511208599995,5.17111980691,5.29,True,False,False,False
131,131,J225501.30+304057.5,343.75552313099996,30.6826776952,19.921623,0.982640315385,0.9933333333329999,0.00397319053619,4.90965592925,,False,False,False,True
132,132,J224946.43+344137.7,342.44347968299996,34.6936286685,20.369486,0.8563380772399999,0.892355509131,0.10764449086899999,5.27850219452,,False,False,False,True
133,133,J225207.21-164300.0,343.030607633,-16.716710207200002,20.095854,0.43640659757100003,0.518945573175,0.471212098003,5.633323333330001,,False,False,False,True
134,134,J113717.71+354956.8,174.323849198,35.832442698499996,19.455532,0.9291044486650001,0.9315302786249999,0.05453682579,5.943504095240001,6.01,True,False,False,False
